"Unix.Timestamp","Date","Symbol","Open","High","Low","Close","Volume"
1.613016e+12,"2021-02-11 04:00:00","BTC",45513.94,48975,44457.55,48862.95,2364.5987899621
1612929600000,"2021-02-10 04:00:00","BTC",46309.88,47367.17,43762.99,45513.94,2479.6867434728
1612843200000,"2021-02-09 04:00:00","BTC",46653.5,48201.23,45037.8,46309.88,2992.1572940233
1612756800000,"2021-02-08 04:00:00","BTC",38107.34,47519.31,38060.68,46653.5,5944.3686841596
1612670400000,"2021-02-07 04:00:00","BTC",38897.95,39748.96,37400,38107.34,1239.870461406
1.612584e+12,"2021-02-06 04:00:00","BTC",39415.76,41000,38368.69,38897.95,2002.1052699161
1612497600000,"2021-02-05 04:00:00","BTC",37380.18,39700,37057.78,39415.76,2032.7773364587
1612411200000,"2021-02-04 04:00:00","BTC",37551.56,38785.99,36211.08,37380.18,2637.0913205067
1612324800000,"2021-02-03 04:00:00","BTC",36467.28,38375,35583.18,37551.56,2559.7074188733
1612238400000,"2021-02-02 04:00:00","BTC",33589.89,36545.05,33535.61,36467.28,2328.3504726536
1.612152e+12,"2021-02-01 04:00:00","BTC",33608.78,34700,33106.09,33589.89,2134.5911092968
1612065600000,"2021-01-31 04:00:00","BTC",33949.79,34205,32200,33608.78,1153.4575164351
1611979200000,"2021-01-30 04:00:00","BTC",33289.13,34805.65,33153.17,33949.79,1379.029866164
1611892800000,"2021-01-29 04:00:00","BTC",33864.01,38665.71,31968.27,33289.13,7733.4316040119
1611806400000,"2021-01-28 04:00:00","BTC",31514.54,34671.77,30866.39,33864.01,4614.5474161102
1.61172e+12,"2021-01-27 04:00:00","BTC",31852.6,32059.73,29191.9,31514.54,5779.1357793619
1611633600000,"2021-01-26 04:00:00","BTC",31557.64,32951,30833.97,31852.6,2542.8568678082
1611547200000,"2021-01-25 04:00:00","BTC",33585.44,34885.56,31481.38,31557.64,2502.7824662631
1611460800000,"2021-01-24 04:00:00","BTC",32500,33672.18,30958,33585.44,1668.4762788306
1611374400000,"2021-01-23 04:00:00","BTC",32393.63,33479.49,31444,32500,941.9984628795
1.611288e+12,"2021-01-22 04:00:00","BTC",30943.32,33880,30473.87,32393.63,2869.2280169282
1611201600000,"2021-01-21 04:00:00","BTC",34603.74,35000,28800,30943.32,7290.5217967213
1611115200000,"2021-01-20 04:00:00","BTC",35075.53,35964.95,33400,34603.74,2900.0097703311
1611028800000,"2021-01-19 04:00:00","BTC",36509.42,37934.2,35005,35075.53,2726.2907895569
1610942400000,"2021-01-18 04:00:00","BTC",35089.93,37469.21,34778,36509.42,2083.8380520798
1.610856e+12,"2021-01-17 04:00:00","BTC",36215.22,36840.11,33868.96,35089.93,1759.9371747346
1610769600000,"2021-01-16 04:00:00","BTC",36549.31,37949.71,35400.01,36215.22,1855.5284316078
1610683200000,"2021-01-15 04:00:00","BTC",38706.52,38849.96,34353.63,36549.31,4503.9937160391
1610596800000,"2021-01-14 04:00:00","BTC",37040.7,40112.79,36751.4,38706.52,2686.5102931732
